id,category_id,sub_category,slug
1,1,Adult Jobs,adult-jobs
2,1,Bodyrubs,bodyrubs
3,1,Dom And Fetish,dom-and-fetish
4,1,Escorts,escorts
5,1,Male Escorts,male-escorts
6,1,TS,ts
7,1,Phone & Websites,phone-&-websites
8,1,Strippers And Strip Clubs,strippers-and-strip-clubs
9,2,Auto Parts,auto-parts
10,2,Auto-Truck-Rv,auto-truck-rv
11,2,Services,services
12,3,Antiq.-Collectibles,antiq-collectibles
13,3,Appliances,appliances
14,3,Boats & Motorcycles,boats & motorcycles
15,3,Business,business
16,3,Clothing/Jewelry,clothing-jewelry
17,3,Computers/Electronics,computers-electronics
18,3,Farm/Garden,farm-garden
19,3,Free,free
20,3,Furniture,furniture
21,3,Household Items,household-items
22,3,Miscellaneous,miscellaneous
23,3,"Pets, Pet Supplies",pets-pet-supplies
24,3,Sports Equip,sports equip
25,3,Tickets,tickets
26,3,Tools/Materials,tools-materials
27,3,Want-Trade,want-trade
28,3,Yard Sales,yard-sales
29,4,Childcare,childcare
30,4,Classes/ Workshops,classes-workshops
31,4,General,general
32,4,Groups,groups
33,4,Lost & Found,lost-&-found
34,4,Volunteers,volunteers
35,5,Women > Men,women-men
36,5,Men > Men,men-men
37,5,Men > Women,men-women
38,5,Trans Gender,trans-gender
39,5,Women > Women,women-women
40,6,Acctg/Finance,acctg-finance
41,6,Admin/Office,admin-office
42,6,Computer/Technical,computer-technical
43,6,Customer Service,customer-service
44,6,Domestic,domestic
45,6,Driver/Delivery/Courier,driver-delivery-courier
46,6,Education,education
47,6,Focus Group/Studies,focus-group-studies
48,6,Job Wanted/Resume,job-wanted-resume
49,6,Medical/Health,medical-health
50,6,Mgmt/Professional,mgmt-professional
51,6,Miscellaneous,miscellaneous
52,6,Real Estate,real-estate
53,6,Rest/Retail/Hotel,rest-retail-hotel
54,6,Sales/Mktg,sales-mktg
55,6,Salon/Spa,salon-spa
56,6,Show Biz/Audition,show-biz-audition
57,6,Trades/Labor,trades-labor
58,7,Bars/ Clubs,bars-clubs
59,7,Events,events
60,7,Restaurants,restaurants
61,7,Salons/ Nails/ Spas,salons-nails-spas
62,8,Available/Wanted,available-wanted
63,8,Equip/Instruments,equip-instruments
64,8,Instruction,instruction
65,8,Plug The Band,plug the band
66,8,Services,services
67,9,Commercial,commercial
68,9,House/Condo,house-condo
69,9,Land For Sale,land-for-sale
70,9,Misc,misc
71,9,Wanted,wanted
72,10,Apt/Condo/House,apt-condo-house
73,10,Commercial,commercial
74,10,Miscellaneous,miscellaneous
75,10,Rentals Wanted,rentals-wanted
76,10,Roommates,roommates
77,10,Vacation,vacation
78,11,Biz Opps,biz-opps
79,11,Business,business
80,11,Cleaning,cleaning
81,11,Computer,computer
82,11,Creative,creative
83,11,Financial,financial
84,11,Health & Beauty,health-&-beauty
85,11,Home Improvement,home-improvement
86,11,Labor/Moving,labor-moving
87,11,Landscape/Lawn,landscape-lawn
88,11,Legal,legal
89,11,Massage,massage
90,11,Misc.,misc.
91,11,Real Estate,real-estate
